sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
JIO,4G,upload,216,na,Mumbai
JIO,4G,upload,503,-112,Mumbai
JIO,4G,upload,332,-112,Mumbai
JIO,4G,upload,544,-94,Mumbai
JIO,4G,upload,4729,-100,Mumbai
JIO,4G,upload,5589,-91,Mumbai
JIO,4G,upload,346,-91,Mumbai
JIO,4G,upload,335,na,Mumbai
JIO,4G,upload,738,na,Mumbai
JIO,4G,upload,565,na,Mumbai
JIO,4G,upload,657,na,Mumbai
JIO,4G,upload,10889,-93,Mumbai
JIO,4G,upload,10604,-93,Mumbai
JIO,4G,upload,11068,-93,Mumbai
JIO,4G,upload,11704,-93,Mumbai
JIO,4G,upload,5082,-92,Mumbai
JIO,4G,upload,349,na,Mumbai
JIO,4G,upload,944,-109,Mumbai
JIO,4G,upload,764,-108,Mumbai
JIO,4G,upload,716,-109,Mumbai
JIO,4G,upload,251,na,Mumbai
JIO,4G,upload,149,na,Mumbai
JIO,4G,upload,1001,-106,Mumbai
JIO,4G,upload,1152,-111,Mumbai
JIO,4G,upload,1233,-108,Mumbai
JIO,4G,upload,910,-106,Mumbai
JIO,4G,upload,1023,-109,Mumbai
JIO,4G,upload,560,-85,Mumbai
JIO,4G,upload,522,-108,Mumbai
JIO,4G,upload,5810,-76,Mumbai
AIRTEL,4G,upload,794,-110,Kerala
AIRTEL,4G,upload,299,na,Haryana
AIRTEL,4G,upload,524,-63,Haryana
AIRTEL,4G,upload,68,-53,Haryana
CELLONE,3G,download,784,na,Kerala
CELLONE,3G,upload,1347,na,Kerala
JIO,4G,download,38848,-67,Maharashtra
JIO,4G,upload,4069,-67,Maharashtra
AIRTEL,4G,download,4906,-51,Karnataka
AIRTEL,4G,upload,4967,-57,Karnataka
JIO,4G,download,432,-89,UP East
JIO,4G,download,1723,-100,UP East
JIO,4G,upload,835,-89,UP East
JIO,4G,upload,1708,-100,UP East
JIO,4G,download,11471,-81,Maharashtra
JIO,4G,download,2809,-90,Maharashtra
JIO,4G,download,2826,-92,Maharashtra
JIO,4G,download,8731,-79,Maharashtra
JIO,4G,download,5413,-95,Maharashtra
JIO,4G,download,2156,-103,UP West
JIO,4G,download,4984,-99,UP West
JIO,4G,download,942,-101,UP West
JIO,4G,download,1676,na,UP West
JIO,4G,download,9915,-103,UP West
JIO,4G,download,1670,-111,UP West
JIO,4G,download,2804,-99,UP West
JIO,4G,upload,1070,-107,UP West
JIO,4G,upload,1003,-101,UP West
JIO,4G,upload,158,-101,UP West
JIO,4G,upload,143,na,UP West
JIO,4G,upload,2090,-103,UP West
JIO,4G,upload,208,-109,UP West
JIO,4G,upload,51,-103,UP West
JIO,4G,download,36273,-107,Delhi
JIO,4G,download,31629,-90,Delhi
JIO,4G,upload,1617,-107,Delhi
JIO,4G,upload,2881,-93,Delhi
JIO,4G,download,50288,-65,Orissa
JIO,4G,upload,3736,-65,Orissa
JIO,4G,download,40125.0,-93,Maharashtra
JIO,4G,download,13749,-87,Maharashtra
JIO,4G,download,14619,-90,Maharashtra
JIO,4G,download,6696,-81,Maharashtra
JIO,4G,download,7398,-82,Maharashtra
JIO,4G,upload,4125,-91,Maharashtra
JIO,4G,upload,4394,-86,Maharashtra
JIO,4G,upload,4559,-88,Maharashtra
JIO,4G,upload,2659,-81,Maharashtra
JIO,4G,upload,3025,-83,Maharashtra
JIO,4G,download,84140,-58,Madhya Pradesh
JIO,4G,upload,8812,-58,Madhya Pradesh
JIO,4G,upload,8534,-87,Maharashtra
JIO,4G,upload,8699,-73,Maharashtra
JIO,4G,upload,8889,-75,Maharashtra
JIO,4G,upload,8703,-73,Maharashtra
AIRTEL,4G,download,21852,-95,Rajasthan
AIRTEL,4G,download,12811,-88,Rajasthan
AIRTEL,4G,download,870,-107,Rajasthan
AIRTEL,4G,download,2698,-98,Rajasthan
AIRTEL,4G,download,231,-108,Rajasthan
AIRTEL,4G,download,12090,-98,Rajasthan
AIRTEL,4G,upload,3736,-95,Rajasthan
