Screen Name,Location,Tweet
Kushal,NaN,#lockdown is golden for #RELIANCE - share market cap nearly tripled.. - acquired #future group #jio got investments upto 1.5 lac cr #RelianceRetail stakesale.. #IPL2020 winners #MumbaiIndians again owned by #RelianceIndustries #MukeshAmbani #MotaBhaiRocks @AnilSinghvi_
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Kushal,NaN,#lockdown is golden for #RELIANCE Their share market cap nearly tripled.. They acquired #future group #jio got investments upto 1.5 lac cr #RelianceRetail got investments too.. #IPL2020 winners #MumbaiIndians again owned by #RelianceIndustries #MukeshAmbani #MotaBhaiRocks
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
ETTelecom,NaN,ETTelecom | Jio launches mobile services in Zanskar #RelianceJio #JioNews #Jio #NarendraModi #Zanskar #RelianceIndustries #Industry #4GNetwork #RaviShankarPrasad #TelecomNews
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Darpan Jain(DJ),NaN,This has been one of the best years for Ambanis. #MIvsDC #jio #jiofiber
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 137-3 Overs 16.2 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 126-2 Overs 15 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 126-2 Overs 15 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 116-2 Overs 14 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 116-2 Overs 14 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 116-2 Overs 14 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Ashish,NaN,"Arre ye #jio saari #IPL teams ko sponsor karega toh phir apni team ko har baar jeetayega??? Ideally the governing council should be looking at it and so should the legal authorities. This is not WWE, 1 sponsor of all teams means artificial competition"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 112-2 Overs 13 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 102-2 Overs 12 Rohit *56 #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 Nov 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20|MI 157🎯 MI 102-2 Overs 12 Rohit *56 #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 91-2 Overs 10.5 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 88-1 Overs 10 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 88-1 Overs 10 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 81-1 Overs 9 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 65-1 Overs 7 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 65-1 Overs 7 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 65-1 Overs 7 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 61-1 Overs 6 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 61-1 Overs 6 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 58-1 Overs 5 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 November 10, 2020 ⭐️ MI Vs DC Finals 👍🏆 DC won toss to bat 👍 DC 156-7 Overs 20 | MI 157🎯 MI 58-1 Overs 5 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
subhankar,NaN,#Jio #jiospeed #Jiofiber I am facing frequent disconnection issue and on calling customer care nothing happens. Call is put on hold and then disconnected. #disappointed
Aman Saxena,NaN,Really pathetic services @fiber_jio @reliancejio I have taken new jio connection and it didn't worked well. It have various coverage issues. I have cancelled my services but till now no one has come for pickup...No refund..Really Pathetic. #jio #Reliance #jiospeed #fibernet
